Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance
Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm
,10 K,,50 K,,100 K,,150 K,,150 K,,160 K,,170 K,,180 K,,190 K,,200 K
-16000.3232421875,-22.25873,-16000.267578125,-33.58557,-16000.2568359375,-47.97794,-16000.2900390625,-66.81582,-16000.279296875,-66.64215,-16000.2451171875,-72.36978,-16000.3447265625,-76.89874,-16000.201171875,-81.46249,-16000.3115234375,-87.30025,-16000.3232421875,-90.59535
-16000.267578125,-22.2605,-16000.2333984375,-33.59226,-16000.201171875,-47.98094,-16000.30078125,-66.85454,-16000.2900390625,-66.61227,-16000.2568359375,-72.38666,-16000.35546875,-76.90549,-16000.201171875,-81.50291,-16000.3447265625,-87.17599,-16000.3232421875,-90.59946
-15000.3388671875,-22.29991,-15000.140625,-33.58401,-15000.3935546875,-47.99762,-15000.3505859375,-66.87934,-15000.328125,-66.65937,-15000.0751953125,-72.38301,-15000.2958984375,-77.03461,-15000.4375,-81.92248,-15000.3828125,-87.40675,-15000.3935546875,-90.65185
-15000.3505859375,-22.30272,-15000.119140625,-33.60154,-15000.4375,-48.01381,-15000.3388671875,-66.90108,-15000.306640625,-66.67467,-15000.1083984375,-72.39463,-15000.283203125,-77.00572,-15000.361328125,-81.9752,-15000.416015625,-87.47375,-15000.3935546875,-90.75632
-15000.3720703125,-22.30721,-15000.0859375,-33.61272,-15000.3935546875,-48.03589,-15000.3173828125,-66.96272,-15000.3720703125,-66.69028,-15000.1630859375,-72.39625,-15000.283203125,-77.04476,-15000.3935546875,-81.99078,-15000.4375,-87.54968,-15000.3935546875,-90.80282
-15000.3828125,-22.31385,-15000.1298828125,-33.61706,-15000.416015625,-48.04545,-15000.3505859375,-66.96305,-15000.3505859375,-66.70217,-15000.140625,-72.43015,-15000.25,-77.08603,-15000.4052734375,-82.00714,-15000.416015625,-87.55798,-15000.3720703125,-90.84948
-14000.2333984375,-22.2626,-14000.310546875,-33.62717,-14000.3232421875,-48.03399,-14000.2451171875,-66.92962,-14000.3994140625,-66.77002,-14000.3232421875,-72.41597,-14000.2451171875,-77.29059,-14000.27734375,-82.23023,-14000.27734375,-87.96673,-14000.27734375,-91.00916
-14000.255859375,-22.27628,-14000.2890625,-33.63203,-14000.310546875,-48.05112,-14000.255859375,-66.94661,-14000.35546875,-66.77768,-14000.2998046875,-72.43395,-14000.27734375,-77.30956,-14000.2998046875,-82.24026,-14000.27734375,-87.96622,-14000.3232421875,-91.06952
-14000.201171875,-22.27615,-14000.310546875,-33.64342,-14000.2890625,-48.06558,-14000.22265625,-66.97413,-14000.3232421875,-66.79071,-14000.310546875,-72.44911,-14000.310546875,-77.37292,-14000.27734375,-82.29507,-14000.255859375,-88.01996,-14000.310546875,-91.04634
-14000.22265625,-22.2869,-14000.2890625,-33.65217,-14000.3232421875,-48.0723,-14000.2451171875,-66.99256,-14000.3779296875,-66.7879,-14000.310546875,-72.4847,-14000.310546875,-77.37692,-14000.27734375,-82.33549,-14000.27734375,-88.0286,-14000.27734375,-91.10606
